Time	-Avg A
(us)	(mV)

-2.00000012	-31.42794000
-1.99960012	-31.48093000
-1.99920012	-31.38251000
-1.99880012	-31.40522000
-1.99840012	-31.39008000
-1.99800012	-31.43549000
-1.99760012	-31.37494000
-1.99720012	-31.43550000
-1.99680012	-31.42794000
-1.99640012	-31.36737000
-1.99600012	-31.32194000
-1.99560012	-31.42793000
-1.99520012	-31.39765000
-1.99480012	-31.43551000
-1.99440012	-31.34465000
-1.99400012	-31.40522000
-1.99360012	-31.40522000
-1.99320012	-31.34465000
-1.99280012	-31.45822000
-1.99240012	-31.38250000
-1.99200012	-31.26893000
-1.99160012	-31.36736000
-1.99120012	-31.39765000
-1.99080012	-31.41280000
-1.99040012	-31.35980000
-1.99000012	-31.47336000
-1.98960012	-31.32193000
-1.98920012	-31.42793000
-1.98880012	-31.37493000
-1.98840012	-31.36736000
-1.98800012	-31.32194000
-1.98760012	-31.49606000
-1.98720012	-31.39765000
-1.98680012	-31.48850000
-1.98640012	-31.35223000
-1.98600012	-31.38251000
-1.98560012	-31.38251000
-1.98520012	-31.44308000
-1.98480012	-31.39765000
-1.98440012	-31.41279000
-1.98400012	-31.45821000
-1.98360012	-31.50364000
-1.98320012	-31.46578000
-1.98280012	-31.51122000
-1.98240012	-31.32950000
-1.98200012	-31.44308000
-1.98160012	-31.36737000
-1.98120012	-31.38251000
-1.98080012	-31.41280000
-1.98040012	-31.37494000
-1.98000012	-31.37494000
-1.97960012	-31.42793000
-1.97920012	-31.36736000
-1.97880012	-31.43551000
-1.97840012	-31.35979000
-1.97800012	-31.44307000
-1.97760012	-31.32952000
-1.97720012	-31.41278000
-1.97680012	-31.40522000
-1.97640012	-31.42037000
-1.97600012	-31.30680000
-1.97560012	-31.39008000
-1.97520012	-31.32193000
-1.97480012	-31.38251000
-1.97440012	-31.45822000
-1.97400012	-31.40522000
-1.97360012	-31.39008000
-1.97320012	-31.45064000
-1.97280012	-31.31437000
-1.97240012	-31.48094000
-1.97200012	-31.38250000
-1.97160012	-31.39765000
-1.97120012	-31.40523000
-1.97080012	-31.41280000
-1.97040012	-31.33708000
-1.97000012	-31.46579000
-1.96960012	-31.39008000
-1.96920012	-31.44307000
-1.96880012	-31.40522000
-1.96840012	-31.42793000
-1.96800012	-31.37493000
-1.96760012	-31.46579000
-1.96720012	-31.41279000
-1.96680012	-31.45064000
-1.96640012	-31.40522000
-1.96600012	-31.28409000
-1.96560012	-31.31436000
-1.96520012	-31.42794000
-1.96480012	-31.44308000
-1.96440012	-31.35223000
-1.96400012	-31.28408000
-1.96360012	-31.35979000
-1.96320012	-31.32950000
-1.96280012	-31.42793000
-1.96240012	-31.40524000
-1.96200012	-31.44308000
-1.96160012	-31.41279000
-1.96120012	-31.47336000
-1.96080012	-31.28407000
-1.96040012	-31.45065000
-1.96000012	-31.32951000
-1.95960012	-31.39008000
-1.95920012	-31.32951000
-1.95880012	-31.42794000
-1.95840012	-31.35222000
-1.95800012	-31.46578000
-1.95760012	-31.38251000
-1.95720012	-31.41279000
-1.95680012	-31.35222000
-1.95640012	-31.41279000
-1.95600012	-31.38250000
-1.95560012	-31.43550000
-1.95520012	-31.39007000
-1.95480012	-31.30679000
-1.95440012	-31.31437000
-1.95400012	-31.40522000
-1.95360012	-31.35978000
-1.95320012	-31.39765000
-1.95280012	-31.32193000
-1.95240012	-31.35223000
-1.95200012	-31.40522000
-1.95160012	-31.46579000
-1.95120012	-31.26894000
-1.95080012	-31.33707000
-1.95040012	-31.24623000
-1.95000012	-31.39008000
-1.94960012	-31.30680000
-1.94920012	-31.36737000
-1.94880012	-31.39008000
-1.94840012	-31.42794000
-1.94800012	-31.34465000
-1.94760012	-31.42037000
-1.94720012	-31.32193000
-1.94680012	-31.39008000
-1.94640012	-31.33708000
-1.94600012	-31.34465000
-1.94560012	-31.35980000
-1.94520012	-31.31436000
-1.94480012	-31.22351000
-1.94440012	-31.33707000
-1.94400012	-31.31437000
-1.94360012	-31.29165000
-1.94320012	-31.28409000
-1.94280012	-31.40521000
-1.94240012	-31.23864000
-1.94200012	-31.43551000
-1.94160012	-31.37494000
-1.94120012	-31.31436000
-1.94080012	-31.34466000
-1.94040012	-31.33708000
-1.94000012	-31.29923000
-1.93960012	-31.39008000
-1.93920012	-31.37493000
-1.93880012	-31.31438000
-1.93840012	-31.36737000
-1.93800012	-31.36737000
-1.93760012	-31.35223000
-1.93720012	-31.32193000
-1.93680012	-31.32951000
-1.93640012	-31.38251000
-1.93600012	-31.32951000
-1.93560012	-31.38251000
-1.93520012	-31.28408000
-1.93480012	-31.39008000
-1.93440012	-31.31436000
-1.93400012	-31.40521000
-1.93360012	-31.35222000
-1.93320012	-31.34465000
-1.93280012	-31.35979000
-1.93240012	-31.39008000
-1.93200012	-31.34465000
-1.93160012	-31.37494000
-1.93120012	-31.32951000
-1.93080012	-31.42793000
-1.93040012	-31.30680000
-1.93000012	-31.42794000
-1.92960012	-31.37493000
-1.92920012	-31.45064000
-1.92880012	-31.35222000
-1.92840012	-31.39765000
-1.92800012	-31.28408000
-1.92760012	-31.42037000
-1.92720012	-31.35221000
-1.92680012	-31.38250000
-1.92640012	-31.23865000
-1.92600012	-31.33708000
-1.92560012	-31.29164000
-1.92520012	-31.31437000
-1.92480012	-31.26894000
-1.92440012	-31.35223000
-1.92400012	-31.28408000
-1.92360012	-31.33706000
-1.92320012	-31.26136000
-1.92280012	-31.32951000
-1.92240012	-31.39009000
-1.92200012	-31.35979000
-1.92160012	-31.35222000
-1.92120012	-31.36737000
-1.92080012	-31.34464000
-1.92040012	-31.27652000
-1.92000012	-31.23866000
-1.91960012	-31.35223000
-1.91920012	-31.42794000
-1.91880012	-31.51122000
-1.91840012	-31.30679000
-1.91800012	-31.40522000
-1.91760012	-31.35981000
-1.91720012	-31.49607000
-1.91680012	-31.35222000
-1.91640012	-31.33708000
-1.91600012	-31.33708000
-1.91560012	-31.40523000
-1.91520012	-31.28408000
-1.91480012	-31.39008000
-1.91440012	-31.32952000
-1.91400012	-31.36736000
-1.91360012	-31.26138000
-1.91320012	-31.34465000
-1.91280012	-31.32952000
-1.91240012	-31.36737000
-1.91200012	-31.30679000
-1.91160012	-31.34465000
-1.91120012	-31.33709000
-1.91080012	-31.39008000
-1.91040012	-31.29164000
-1.91000012	-31.39009000
-1.90960012	-31.38251000
-1.90920012	-31.29923000
-1.90880012	-31.36736000
-1.90840012	-31.39765000
-1.90800012	-31.29923000
-1.90760012	-31.40522000
-1.90720012	-31.36737000
-1.90680012	-31.39765000
-1.90640012	-31.28408000
-1.90600012	-31.35223000
-1.90560012	-31.30679000
-1.90520012	-31.42793000
-1.90480012	-31.36736000
-1.90440012	-31.42037000
-1.90400012	-31.36737000
-1.90360012	-31.42035000
-1.90320012	-31.36737000
-1.90280012	-31.40522000
-1.90240012	-31.32194000
-1.90200012	-31.42793000
-1.90160012	-31.31437000
-1.90120012	-31.37494000
-1.90080012	-31.34464000
-1.90040012	-31.41279000
-1.90000012	-31.37494000
-1.89960012	-31.47336000
-1.89920012	-31.40522000
-1.89880012	-31.46579000
-1.89840012	-31.35222000
-1.89800012	-31.35978000
-1.89760012	-31.31437000
-1.89720012	-31.42035000
-1.89680012	-31.31437000
-1.89640012	-31.44307000
-1.89600012	-31.32950000
-1.89560012	-31.39008000
-1.89520012	-31.35979000
-1.89480012	-31.50364000
-1.89440012	-31.38251000
-1.89400012	-31.39765000
-1.89360012	-31.38251000
-1.89320012	-31.35222000
-1.89280012	-31.35221000
-1.89240012	-31.39008000
-1.89200012	-31.32952000
-1.89160012	-31.44308000
-1.89120012	-31.32951000
-1.89080012	-31.38251000
-1.89040012	-31.29165000
-1.89000012	-31.35980000
-1.88960012	-31.26893000
-1.88920012	-31.42036000
-1.88880012	-31.33708000
-1.88840012	-31.34465000
-1.88800012	-31.39007000
-1.88760012	-31.38251000
-1.88720012	-31.31437000
-1.88680012	-31.34465000
-1.88640012	-31.32951000
-1.88600012	-31.36736000
-1.88560012	-31.39007000
-1.88520012	-31.27651000
-1.88480012	-31.40522000
-1.88440012	-31.29923000
-1.88400012	-31.30680000
-1.88360012	-31.36737000
-1.88320012	-31.37493000
-1.88280012	-31.39008000
-1.88240012	-31.29165000
-1.88200012	-31.40522000
-1.88160012	-31.34465000
-1.88120012	-31.43551000
-1.88080012	-31.32193000
-1.88040012	-31.39765000
-1.88000012	-31.36737000
-1.87960012	-31.48849000
-1.87920012	-31.40522000
-1.87880012	-31.47337000
-1.87840012	-31.32951000
-1.87800012	-31.43551000
-1.87760012	-31.39765000
-1.87720012	-31.37494000
-1.87680012	-31.32195000
-1.87640012	-31.42037000
-1.87600012	-31.32952000
-1.87560012	-31.38252000
-1.87520012	-31.40522000
-1.87480012	-31.35979000
-1.87440012	-31.39008000
-1.87400012	-31.44307000
-1.87360012	-31.32193000
-1.87320012	-31.33709000
-1.87280012	-31.37494000
-1.87240012	-31.44308000
-1.87200012	-31.34464000
-1.87160012	-31.37493000
-1.87120012	-31.42794000
-1.87080012	-31.39765000
-1.87040012	-31.41280000
-1.87000012	-31.39009000
-1.86960012	-31.31436000
-1.86920012	-31.46578000
-1.86880012	-31.42794000
-1.86840012	-31.54907000
-1.86800012	-31.46579000
-1.86760012	-31.47336000
-1.86720012	-31.49608000
-1.86680012	-31.42793000
-1.86640012	-31.42794000
-1.86600012	-31.42037000
-1.86560012	-31.38251000
-1.86520012	-31.41278000
-1.86480012	-31.35222000
-1.86440012	-31.42793000
-1.86400012	-31.39008000
-1.86360012	-31.38251000
-1.86320012	-31.26137000
-1.86280012	-31.35980000
-1.86240012	-31.40522000
-1.86200012	-31.44308000
-1.86160012	-31.43551000
-1.86120012	-31.29166000
-1.86080012	-31.39008000
-1.86040012	-31.34465000
-1.86000012	-31.46579000
-1.85960012	-31.48094000
-1.85920012	-31.39008000
-1.85880012	-31.48850000
-1.85840012	-31.32195000
-1.85800012	-31.43551000
-1.85760012	-31.38250000
-1.85720012	-31.36736000
-1.85680012	-31.32950000
-1.85640012	-31.34464000
-1.85600012	-31.23107000
-1.85560012	-31.41279000
-1.85520012	-31.35979000
-1.85480012	-31.35224000
-1.85440012	-31.31438000
-1.85400012	-31.39765000
-1.85360012	-31.34465000
-1.85320012	-31.38250000
-1.85280012	-31.35979000
-1.85240012	-31.39765000
-1.85200012	-31.22351000
-1.85160012	-31.38250000
-1.85120012	-31.32195000
-1.85080012	-31.47336000
-1.85040012	-31.43548000
-1.85000012	-31.36737000
-1.84960012	-31.32951000
-1.84920012	-31.41280000
-1.84880012	-31.42036000
-1.84840012	-31.42037000
-1.84800012	-31.30680000
-1.84760012	-31.45822000
-1.84720012	-31.38252000
-1.84680012	-31.48093000
-1.84640012	-31.34466000
-1.84600012	-31.33708000
-1.84560012	-31.34465000
-1.84520012	-31.39008000
-1.84480012	-31.42794000
-1.84440012	-31.40524000
-1.84400012	-31.43551000
-1.84360012	-31.47336000
-1.84320012	-31.35223000
-1.84280012	-31.44308000
-1.84240012	-31.31438000
-1.84200012	-31.50364000
-1.84160012	-31.37494000
-1.84120012	-31.42037000
-1.84080012	-31.46578000
-1.84040012	-31.36737000
-1.84000012	-31.34465000
-1.83960012	-31.42037000
-1.83920012	-31.31437000
-1.83880012	-31.38251000
-1.83840012	-31.42036000
-1.83800012	-31.42036000
-1.83760012	-31.36736000
-1.83720012	-31.40523000
-1.83680012	-31.36736000
-1.83640012	-31.36736000
-1.83600012	-31.31437000
-1.83560012	-31.42794000
-1.83520012	-31.34466000
-1.83480012	-31.34465000
-1.83440012	-31.32951000
-1.83400012	-31.43550000
-1.83360012	-31.35221000
-1.83320012	-31.41280000
-1.83280012	-31.35980000
-1.83240012	-31.43550000
-1.83200012	-31.32951000
-1.83160012	-31.32951000
-1.83120012	-31.39007000
-1.83080012	-31.48850000
-1.83040012	-31.35979000
-1.83000012	-31.38251000
-1.82960012	-31.35980000
-1.82920012	-31.45065000
-1.82880012	-31.38251000
-1.82840012	-31.42036000
-1.82800012	-31.39765000
-1.82760012	-31.45064000
-1.82720012	-31.44308000
-1.82680012	-31.40522000
-1.82640012	-31.32194000
-1.82600012	-31.34465000
-1.82560012	-31.34466000
-1.82520012	-31.45821000
-1.82480012	-31.47336000
-1.82440012	-31.42793000
-1.82400012	-31.42035000
-1.82360012	-31.39007000
-1.82320012	-31.39765000
-1.82280012	-31.37494000
-1.82240012	-31.34465000
-1.82200012	-31.48849000
-1.82160012	-31.40522000
-1.82120012	-31.33707000
-1.82080012	-31.42793000
-1.82040012	-31.45064000
-1.82000012	-31.40522000
-1.81960012	-31.43550000
-1.81920012	-31.38251000
-1.81880012	-31.46579000
-1.81840012	-31.35223000
-1.81800012	-31.47336000
-1.81760012	-31.38251000
-1.81720012	-31.45065000
-1.81680012	-31.41279000
-1.81640012	-31.51878000
-1.81600012	-31.37494000
-1.81560012	-31.45822000
-1.81520012	-31.46579000
-1.81480012	-31.33707000
-1.81440012	-31.34464000
-1.81400012	-31.42037000
-1.81360012	-31.40522000
-1.81320012	-31.43550000
-1.81280012	-31.37493000
