LECROYWR104Xi-A,26993,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,13-Jul-2015 13:28:13,0                 
Time,Ampl
1.5198e-006,-0.000146419
1.52e-006,-0.000139471
1.5202e-006,-0.000132522
1.5204e-006,-0.000133515
1.5206e-006,-0.000141456
1.5208e-006,-0.000149149
1.521e-006,-0.000151135
1.5212e-006,-0.000151879
1.5214e-006,-0.000154113
1.5216e-006,-0.000152127
1.5218e-006,-0.000148901
1.522e-006,-0.000149397
1.5222e-006,-0.000149646
1.5224e-006,-0.000147164
1.5226e-006,-0.00014493
1.5228e-006,-0.000145179
1.523e-006,-0.000150638
1.5232e-006,-0.000155353
1.5234e-006,-0.000152624
1.5236e-006,-0.000147412
1.5238e-006,-0.000147164
1.524e-006,-0.000149646
1.5242e-006,-0.000149646
1.5244e-006,-0.000147908
1.5246e-006,-0.000146916
1.5248e-006,-0.000146916
1.525e-006,-0.000148405
1.5252e-006,-0.00014766
1.5254e-006,-0.0001422
1.5256e-006,-0.000136989
1.5258e-006,-0.000139719
1.526e-006,-0.000147412
1.5262e-006,-0.000151879
1.5264e-006,-0.000153368
1.5266e-006,-0.000156346
1.5268e-006,-0.000157835
1.527e-006,-0.000156346
1.5272e-006,-0.000156594
1.5274e-006,-0.000160565
1.5276e-006,-0.000163543
1.5278e-006,-0.000164287
1.528e-006,-0.000163295
1.5282e-006,-0.00015858
1.5284e-006,-0.000150142
1.5286e-006,-0.000140711
1.5288e-006,-0.000133763
1.529e-006,-0.000134259
1.5292e-006,-0.000140711
1.5294e-006,-0.000146419
1.5296e-006,-0.000148157
1.5298e-006,-0.000147908
1.53e-006,-0.000148653
1.5302e-006,-0.000149894
1.5304e-006,-0.000149397
1.5306e-006,-0.000145923
1.5308e-006,-0.0001422
1.531e-006,-0.00014096
1.5312e-006,-0.000140463
1.5314e-006,-0.000139967
1.5316e-006,-0.000141456
1.5318e-006,-0.000144186
1.532e-006,-0.000145675
1.5322e-006,-0.00014493
1.5324e-006,-0.000141704
1.5326e-006,-0.000137485
1.5328e-006,-0.000136244
1.533e-006,-0.000137733
